,loss,val_loss,recall,val_recall,precision,val_precision
23,0.4107457629865175,0.4275601582961054,"[0.68560606, 0.56344163, 0.7677372, 0.6938933]","[0.77158636, 0.51785713, 0.84375, 0.70877194]","[0.6674041, 0.6148215, 0.7494109, 0.67448837]","[0.7504883, 0.25290698, 0.91175145, 0.7879083]"
24,0.39176804903563356,0.31101087466321253,"[0.69357574, 0.57039547, 0.773602, 0.70126987]","[0.77686745, 0.52, 0.8472, 0.7157895]","[0.67436653, 0.62259495, 0.7547429, 0.6825626]","[0.7564524, 0.25706214, 0.91450775, 0.7925408]"
25,0.38346771213681713,0.35002144891614206,"[0.7016317, 0.5781182, 0.7782407, 0.70767194]","[0.7845227, 0.51648355, 0.8515385, 0.71862346]","[0.6825397, 0.62948066, 0.75976545, 0.689433]","[0.75885254, 0.2596685, 0.91714996, 0.79847056]"
26,0.3489029073726707,0.36056557319335136,"[0.7092031, 0.586629, 0.7835619, 0.71457964]","[0.78848726, 0.521164, 0.8559259, 0.7220273]","[0.68969655, 0.63788396, 0.76542425, 0.6966947]","[0.76427335, 0.2623169, 0.9192522, 0.8027742]"
27,0.3503191921489105,0.24996633602737123,"[0.71590906, 0.59433013, 0.7879633, 0.72118294]","[0.79432017, 0.5255102, 0.8592857, 0.72969925]","[0.6967558, 0.6447412, 0.7702929, 0.7035023]","[0.7698082, 0.2689295, 0.921486, 0.80841315]"
28,0.3250436902506034,0.3387208965613765,"[0.7218391, 0.6024742, 0.79310346, 0.726601]","[0.7993353, 0.5270936, 0.86068964, 0.7339383]","[0.7031043, 0.6520135, 0.77552235, 0.7095136]","[0.7730012, 0.2705436, 0.9234184, 0.8136821]"
29,0.32796246254850686,0.33741551544838094,"[0.72818184, 0.60894537, 0.79739714, 0.7320106]","[0.8012048, 0.53571427, 0.864, 0.7357895]","[0.7084316, 0.6582188, 0.7802333, 0.71578854]","[0.7762646, 0.27339002, 0.9247235, 0.8178627]"
30,0.31122903558077425,0.3132376226401479,"[0.73431087, 0.6164571, 0.80141383, 0.73749787]","[0.8045083, 0.54147464, 0.8654839, 0.7409168]","[0.7146119, 0.66486484, 0.78452116, 0.7219716]","[0.78054297, 0.27712265, 0.92677027, 0.82122695]"
31,0.31930684830535044,0.3068323871567273,"[0.74024624, 0.6230579, 0.80502206, 0.7426422]","[0.80948794, 0.5401786, 0.86875, 0.74407893]","[0.72072655, 0.670785, 0.7885727, 0.7273095]","[0.7835277, 0.2800926, 0.9282137, 0.8252463]"
32,0.2615769045258309,0.2585979149610292,"[0.74628097, 0.6302003, 0.80932754, 0.7478756]","[0.8141658, 0.53896105, 0.87060606, 0.7505582]","[0.7264682, 0.67783815, 0.79298484, 0.732951]","[0.78715146, 0.28359908, 0.92977345, 0.82998234]"
33,0.3374073605557394,0.3176330787424277,"[0.75106955, 0.6350116, 0.81249076, 0.7528011]","[0.8185684, 0.53781515, 0.8741177, 0.7517028]","[0.7308126, 0.6827765, 0.79655725, 0.7378174]","[0.7900137, 0.28476083, 0.9310777, 0.833505]"
34,0.2971652961643851,0.37484153319388025,"[0.7559307, 0.6410008, 0.8154732, 0.7574452]","[0.8234079, 0.5346939, 0.8748571, 0.753985]","[0.73604786, 0.6875, 0.80021185, 0.7427915]","[0.78969955, 0.2866521, 0.9326835, 0.83734137]"
35,0.25185083682637804,0.31914958573193025,"[0.76111114, 0.64642185, 0.81856984, 0.7619048]","[0.82530123, 0.5297619, 0.8775, 0.7573099]","[0.74102604, 0.69267637, 0.8033372, 0.7477282]","[0.7916533, 0.28833693, 0.93351066, 0.83900225]"
36,0.2864362666646848,0.34209346499614035,"[0.76502866, 0.6514735, 0.8217714, 0.76555127]","[0.82676655, 0.53474903, 0.8759459, 0.76244664]","[0.7451935, 0.6972545, 0.80650765, 0.7517377]","[0.7959248, 0.28824142, 0.9345444, 0.84144425]"
37,0.24169273288969667,0.2765282518032096,"[0.76985645, 0.65759736, 0.8251359, 0.76977164]","[0.8303741, 0.5394737, 0.87789476, 0.76426595]","[0.7500583, 0.7029003, 0.8100475, 0.7563445]","[0.7972603, 0.2925586, 0.9357644, 0.845023]"
38,0.2550306788820673,0.33639140660536576,"[0.7734266, 0.66304505, 0.8282633, 0.7734364]","[0.8344146, 0.54029304, 0.8797436, 0.765722]","[0.75391954, 0.7079112, 0.8130865, 0.7603868]","[0.797932, 0.29588765, 0.9369197, 0.84838516]"
39,0.20294542472989577,0.24920792643468004,"[0.77757573, 0.66857344, 0.8312343, 0.7776455]","[0.8379518, 0.54285717, 0.88225, 0.76894736]","[0.7583302, 0.7125546, 0.81632656, 0.76504654]","[0.80011505, 0.30069238, 0.9380649, 0.85189503]"
40,0.20795979292261482,0.31037433190720376,"[0.7815965, 0.67355657, 0.8340603, 0.7812621]","[0.8416104, 0.5383275, 0.88390243, 0.77227217]","[0.762382, 0.71703094, 0.81926256, 0.7691037]","[0.80089486, 0.30353636, 0.93910336, 0.8547883]"
41,0.23272940687164706,0.31981998852723037,"[0.78542566, 0.67836964, 0.83645195, 0.7847695]","[0.8448078, 0.53741497, 0.8847619, 0.7746867]","[0.7664578, 0.7210982, 0.8221528, 0.77269906]","[0.8017969, 0.3056093, 0.9398078, 0.8578962]"
42,0.2250286625597288,0.2936936242730279,"[0.78900635, 0.6829589, 0.83908385, 0.7881752]","[0.847016, 0.538206, 0.8851163, 0.77796817]","[0.7698549, 0.725471, 0.82468766, 0.7766596]","[0.8037756, 0.3079848, 0.9406822, 0.8596159]"
43,0.2150084525085173,0.2654265580151257,"[0.79283744, 0.6874037, 0.84130985, 0.79160655]","[0.8491238, 0.53571427, 0.88545454, 0.78086126]","[0.773448, 0.72945905, 0.82729113, 0.78043866]","[0.8056638, 0.30869973, 0.94129014, 0.86098653]"
44,0.21016488575568198,0.37081646005069474,"[0.796633, 0.6920276, 0.84354883, 0.79470897]","[0.85033464, 0.54126984, 0.88755554, 0.78035086]","[0.77706254, 0.73361284, 0.8298458, 0.7839248]","[0.80650073, 0.3111314, 0.94220334, 0.86268425]"
45,0.2158890298965976,0.2512249951119597,"[0.79980236, 0.6963891, 0.845581, 0.7977916]","[0.85201675, 0.54037267, 0.8895652, 0.78352404]","[0.7802198, 0.7371295, 0.83227336, 0.78751063]","[0.80860054, 0.31436315, 0.94263995, 0.86442816]"
46,0.20713338597022843,0.3267166739276066,"[0.8027724, 0.70014423, 0.84784824, 0.8006867]","[0.85414, 0.5395137, 0.8906383, 0.78521836]","[0.78337735, 0.7405124, 0.83456427, 0.79062915]","[0.80913067, 0.31639928, 0.9432177, 0.8665348]"
47,0.2391970985283603,0.3021633818580646,"[0.8056818, 0.7036841, 0.84965366, 0.80340606]","[0.8566767, 0.53720236, 0.8925, 0.7879386]","[0.7862732, 0.7435945, 0.8364416, 0.79378134]","[0.81107414, 0.31862313, 0.94382024, 0.86871374]"
48,0.21223251320851882,0.34390996190163076,"[0.8085343, 0.70759827, 0.851334, 0.8058525]","[0.85910994, 0.5364432, 0.89387757, 0.78754026]","[0.7890163, 0.7466845, 0.8384892, 0.79681826]","[0.81199163, 0.3183391, 0.944169, 0.87078387]"
49,0.16683760218930485,0.3011902308302873,"[0.8115758, 0.7118644, 0.8532494, 0.8084656]","[0.85975903, 0.54, 0.895, 0.7903158]","[0.7918983, 0.75035733, 0.8407128, 0.79991627]","[0.8147979, 0.32088286, 0.9446907, 0.8718068]"
