,loss,val_loss,recall,val_recall,precision,val_precision
0,1.3554946632729363,1.1539359975555172,"[0.36060607, 0.033898305, 0.32493702, 0.4153439]","[0.40963855, 0.0, 0.63, 0.4526316]","[0.33903134, 0.057142857, 0.34217507, 0.3915212]","[0.60714287, 0.0, 0.41447368, 0.5119048]"
1,1.2809195964952413,1.1614797836271664,"[0.33636364, 0.016949153, 0.36649874, 0.46296296]","[0.4759036, 0.0, 0.48, 0.5947368]","[0.35015774, 0.057142857, 0.36649874, 0.40462428]","[0.5683453, 0.0, 0.44444445, 0.49344978]"
2,1.1270331626892398,0.83260475453092,"[0.37070706, 0.011299435, 0.4483627, 0.49911818]","[0.51004016, 0.0, 0.53, 0.6877193]","[0.38550422, 0.055555556, 0.4362745, 0.4421875]","[0.5720721, 0.0, 0.55789477, 0.5311653]"
3,0.9254973910363308,0.775172864185092,"[0.40757576, 0.008474576, 0.52329975, 0.54298943]","[0.5873494, 0.0, 0.565, 0.66842103]","[0.41802642, 0.055555556, 0.513597, 0.4787172]","[0.5492958, 0.0, 0.6312849, 0.5582418]"
4,0.863116371713043,0.7964793529225137,"[0.44424242, 0.006779661, 0.5743073, 0.5677249]","[0.6361446, 0.0, 0.582, 0.66105264]","[0.44451183, 0.054054055, 0.5705706, 0.50234085]","[0.5443299, 0.0, 0.68470585, 0.5709091]"
5,0.7432583479316098,0.5887687489040523,"[0.48737374, 0.008474576, 0.6192275, 0.5899471]","[0.6485944, 0.0, 0.625, 0.6982456]","[0.4774864, 0.07692308, 0.6143274, 0.53032106]","[0.5706714, 0.0, 0.729572, 0.5922619]"
6,0.7012707675330665,0.5274594995796721,"[0.5212121, 0.0072639226, 0.6527528, 0.61413455]","[0.6919105, 0.0, 0.67142856, 0.69473684]","[0.5054576, 0.069767445, 0.6494808, 0.5546075]","[0.5860058, 0.0, 0.7642276, 0.6218035]"
7,0.580234580495654,0.49971623361512046,"[0.5556818, 0.010593221, 0.6848237, 0.6365741]","[0.7153614, 0.0, 0.7075, 0.70789474]","[0.5344262, 0.1, 0.68075114, 0.5794702]","[0.6058673, 0.0, 0.7861111, 0.64663464]"
8,0.5476558332441143,0.4285497518312238,"[0.5885522, 0.011299435, 0.71032745, 0.65667254]","[0.73493975, 0.0, 0.7366667, 0.7263158]","[0.5611557, 0.11320755, 0.70598054, 0.6016698]","[0.6267123, 0.0, 0.80266345, 0.67062634]"
9,0.47298299614214895,0.4045382414277394,"[0.6151515, 0.015254238, 0.73400503, 0.6759259]","[0.75783134, 0.0, 0.758, 0.7431579]","[0.5845091, 0.15254237, 0.72777224, 0.62256336]","[0.6438076, 0.0, 0.81681037, 0.6955665]"
10,0.4484399896881522,0.3507446984065559,"[0.6404959, 0.029275808, 0.7524617, 0.6921597]","[0.7699891, 0.019480519, 0.7763636, 0.75598085]","[0.60562646, 0.25, 0.74647886, 0.6414085]","[0.6594747, 0.75, 0.829932, 0.7097933]"
11,0.407339681556944,0.3790238832233041,"[0.6606061, 0.038135592, 0.7691016, 0.70767194]","[0.78413653, 0.029761905, 0.7925, 0.76842105]","[0.6244927, 0.3, 0.76127154, 0.6583265]","[0.67269593, 0.8333333, 0.8415929, 0.72576636]"
12,0.3648085708686692,0.3402281528028216,"[0.68041956, 0.046936113, 0.7839566, 0.72283274]","[0.79888785, 0.032967035, 0.80615383, 0.77489877]","[0.64295155, 0.33962265, 0.77494735, 0.6746439]","[0.682502, 0.75, 0.84927064, 0.7412858]"
13,0.33632971213123286,0.312001996592574,"[0.6971862, 0.052058112, 0.7979489, 0.7363946]","[0.8098107, 0.040816326, 0.81714284, 0.7849624]","[0.6589607, 0.36752138, 0.78718495, 0.68888104]","[0.6949778, 0.72727275, 0.8562874, 0.75270367]"
14,0.2902697636681987,0.3175115968256811,"[0.71373737, 0.063276835, 0.80923593, 0.74991184]","[0.8192771, 0.057142857, 0.82733333, 0.79157895]","[0.67513853, 0.4148148, 0.79731965, 0.7030423]","[0.7029635, 0.8, 0.8636047, 0.7637102]"
15,0.29903605433613184,0.2900611579096296,"[0.7282197, 0.07309322, 0.81989926, 0.7612434]","[0.82831323, 0.058035713, 0.835625, 0.79868424]","[0.68894464, 0.43949044, 0.8070665, 0.7156848]","[0.7105943, 0.8125, 0.8687459, 0.77374125]"
16,0.26154119319683433,0.27671516322673023,"[0.74082, 0.092721835, 0.82886356, 0.7710862]","[0.83416015, 0.071428575, 0.84411764, 0.8074303]","[0.7014346, 0.49468085, 0.8156897, 0.72685933]","[0.721201, 0.8095238, 0.87234044, 0.78271306]"
17,0.2297297693895702,0.29533370635206235,"[0.75387204, 0.11111111, 0.8372516, 0.7804233]","[0.8360107, 0.09126984, 0.85055554, 0.8152047]","[0.713853, 0.5412844, 0.8231976, 0.7382177]","[0.7304094, 0.71875, 0.8768614, 0.78846157]"
18,0.2372826741824973,0.4710687708458041,"[0.76363635, 0.12578055, 0.8448893, 0.7887775]","[0.84147114, 0.10526316, 0.84157896, 0.82216066]","[0.7244666, 0.5595238, 0.8299258, 0.74775606]","[0.7372222, 0.45901638, 0.88099176, 0.79273504]"
19,0.19357633961443307,0.2830663973274867,"[0.77287877, 0.15, 0.8510076, 0.7973545]","[0.8445783, 0.11785714, 0.849, 0.82789475]","[0.7349085, 0.597973, 0.8361589, 0.75709623]","[0.74455655, 0.47826087, 0.88345474, 0.80010176]"
